,brand,rate1,tag,rate2
0,RAGEBLUE,0.20630182421227197,冬,0.021659085986571368
1,Dr.Martens,0.10261194029850747,シンプル,0.018843404808317088
2,ユニクロ,0.09701492537313433,冬コーデ,0.015919428200129954
3,WEGO,0.07819237147595356,カジュアル,0.015486246480398527
4,STUDIOUS,0.054311774461028195,オトナカジュアル,0.01537795105046567
5,HARE,0.053482587064676616,スニーカー,0.013753519601472818
6,GU,0.03548922056384743,大人カジュアル,0.013536928741607104
7,靴下屋,0.028814262023217248,休日スタイル,0.013103747021875677
8,Daniel Wellington,0.0277363184079602,ニット,0.012237383582412822
9,GLOBAL WORK,0.019071310116086235,カジュアルコーデ,0.010504656703487113
